antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
furniture_living_room,office_furniture,0.0067425200168563,0.025073746312684365,0.0003160556257901391,0.046875,1.8694852941176472,1.0,0.0001469953893792879,1.0228734464916098,0.46825060104652805,0.010033444816053512,0.02236195158850227,0.029740021008403363
cool_stuff,toys,0.018541930046354824,0.02412557943531395,0.0007374631268436578,0.03977272727272727,1.6485708614529575,1.0,0.00029012832062629,1.0162952545525725,0.40084646997485124,0.017587939698492462,0.01603397681881974,0.03517020643112346
toys,cool_stuff,0.02412557943531395,0.018541930046354824,0.0007374631268436578,0.03056768558951965,1.6485708614529575,1.0,0.00029012832062629,1.0124049460332645,0.4031399885874678,0.017587939698492462,0.012252948863860082,0.03517020643112346
furniture_decor,construction_tools_lights,0.1442267172355668,0.0050568900126422255,0.0011588706278971765,0.008035062089116142,1.588933528122717,1.0,0.00042953198195246447,1.0030022957089049,0.43311360558682965,0.007823613086770981,0.0029933089104077107,0.11860086437789139
construction_tools_lights,furniture_decor,0.0050568900126422255,0.1442267172355668,0.0011588706278971765,0.22916666666666663,1.588933528122717,1.0,0.00042953198195246447,1.1101923668295348,0.3725308998498324,0.007823613086770981,0.0992552012803151,0.11860086437789139
toys,stationery,0.02412557943531395,0.02043826380109566,0.0006321112515802782,0.026200873362445417,1.281952010084185,1.0,0.00013902629472704322,1.005917657352238,0.2253769477131239,0.014388489208633094,0.0058828446930879645,0.028564354206995907
stationery,toys,0.02043826380109566,0.02412557943531395,0.0006321112515802782,0.030927835051546393,1.281952010084185,1.0,0.00013902629472704322,1.0070193488805803,0.2245285724528573,0.014388489208633094,0.006970421063292492,0.028564354206995907
consoles_games,toys,0.00695322376738306,0.02412557943531395,0.00021070375052675939,0.030303030303030304,1.2560539896784437,1.0,4.295319819524646e-05,1.0063704962073325,0.20528325907065564,0.006825938566552901,0.006330169884094098,0.019518327378589388
toys,consoles_games,0.02412557943531395,0.00695322376738306,0.00021070375052675939,0.008733624454148471,1.2560539896784437,1.0,4.295319819524646e-05,1.0017960870364286,0.20889560617510528,0.006825938566552901,0.0017928668914467736,0.019518327378589388
home_construction,garden_tools,0.01000842815002107,0.06268436578171091,0.0007374631268436578,0.0736842105263158,1.1754798761609908,1.0,0.00011009115578776484,1.011874832394744,0.1507928062147495,0.010248901903367497,0.011735475589051319,0.04272445820433437
garden_tools,home_construction,0.06268436578171091,0.01000842815002107,0.0007374631268436578,0.011764705882352941,1.1754798761609908,1.0,0.00011009115578776484,1.0017771858005737,0.15926716870855354,0.010248901903367497,0.0017740330142911695,0.04272445820433437
cool_stuff,telephony,0.018541930046354824,0.029814580699536453,0.0006321112515802782,0.034090909090909095,1.1434307741728238,1.0,7.92913818880726e-05,1.0044272576287152,0.12780878774867618,0.013245033112582781,0.004407743413064298,0.02764616125923547
telephony,cool_stuff,0.029814580699536453,0.018541930046354824,0.0006321112515802782,0.02120141342756184,1.1434307741728238,1.0,7.92913818880726e-05,1.0027170895194282,0.1292938067832194,0.013245033112582781,0.002709726948735185,0.02764616125923547
